name,sex,sign,content
-橘梓舟-,女,千山万重，不负卿$微博同名 朱一龙夫人阿梓,金高银欧尼和孔叔，我好想站真人cp啊，可是孔叔是公有财产呜呜呜
一次过的努力小刘,保密,不会搞视频只会弹幕啊啊啊啊啊啊啊,对了这个每一帧都可以当做明信片！太好看了www！
一个扭蛋机,女,(ღˇ◡ˇღ),bgm和色调爱了[爱心]
ocotooo,女,这个人什么都没有写,2020年了 我的眼泪哗啦啦的 我永远喜欢鬼怪
你可以去狗带了,男,周杰伦yyds，另外希望有生之年还能见到f(x)合体一次真心地,全剧都很神，ost我至今还在一直听，爱阿加西
凉笙呀诶,女,,17年到现在 看了好几遍了 2020年了还在坑底 我出不去了[笑哭][笑哭][笑哭]
BTS和张晚意是我后宫,保密,ᥬ????᭄ᥬ????᭄,鬼怪每一帧都是壁纸啊
KV-97,保密,Love Yourself Love Myself.,啊啊啊鬼怪，爱死了，那年冬天追剧
FionaLinW,女,念念不忘 必有回响,是我内心韩剧TOP1啊！！！是每到冬日都会想起的神剧啊！！喜欢里面的每一句台词每一帧画面，喜欢使者喜欢sunny喜欢阿加西喜欢小新娘，我真的太爱这部剧了！！！
神树下的小疯子,保密,,鬼怪当时最开始播的时候，我一边看一边跟闺蜜探讨国产剧的不足【其实主要是在抱怨[捂脸]】
-文涵,女,,时长好美妙啊
LittleJackyyy,女,张真源真男人,一下子就想到那个初雪要有初吻呀阿加西
罚你吃鱼腥草,女,世界这么大，不可能没有外星人，也许他也不爱吃鱼腥草。,仿佛回到了当初追剧的时光，心空得不行。[爱心][爱心]
AMBER123琥珀,保密,,啊啊啊啊啊啊啊啊，我爱看鬼怪！！
稀星藏目,保密,,你太强了！献上三连！
IFBANGBB,保密,,怎么会有这么美好的电视剧啊 每一帧都可以是明信片[响指]
北冥大橘,保密,wink！！！互赞私～02年偶尔挡脸区up，没挡就是忘了！想不到吧！我一直在水视频！$私信告诉我想看什么都可以！$,哪里可以看到这么高清的画质[doge]
那就叫二十吧,女,,剪的太好了，必须给个一键三连
忘忧草king,保密,正在进击中的剪辑小白，同时狮子粉一个(◍˃̶ᗜ˂̶◍)✩,如果让我评论的话，我心中有两个大爱的韩剧：1.一到冬天就想起来的《鬼怪》$2.每个夏天都会刷一遍的《没关系，是爱情呀》
兰羽城,保密,,没想到2020年了，还能看到有人剪辑鬼怪[大哭]出不来坑了
白茶xy清欢,女,你所见即我，我不反驳,刚在微博转发，就出现在我的B站首页上！
痛并快乐着旅行,保密,自从离开了家乡，我和我的琴都很想你。$可是我没有琴，我也没有你。,金高银真的好漂亮啊哦莫
爱加两份珍珠的权司令,女,微博:烤奶爱加两份珍珠的权司令(一个爱瞎剪和专注剪魄的up主),我又想去重温了啊啊啊啊啊！！！！
遥寄一枝春_,保密, Leslie/Kame/GongYoo 私は本当にあなたが大好きです,剪得好棒呀~我永远爱鬼怪！
炽热因子,女,,韩剧TV可以看，超级喜欢
五条悟の夫人,女,梦里不知身是客，一响贪欢,up太棒了！看哭了
猫弦玲,保密,又一年,时长还是521，我可太爱这部剧了，剪得真好，字幕排版也好看，神仙up
不与谁论短长,女,征实则效存，徇名则功浅,冬天真的是看鬼怪的季节
Crush_lz,女,,这个调色我真的爱了
甜奶煮粥,女,ℍ ˙Ⱉ˙ฅ,up剪的太好辣！！调色超棒der！！
舅母的沉香,女,世界可爱。,有没有哪位姐妹有完整版的资源！求私！我三刷了！每次刷的还是不完整版！[大哭]心好痛哦！
恬雪凌萧,女,,这个剧一直没看，但是歌一直在听[喜极而泣]
Youth-me,保密,啦啦啦~,剪辑得好棒 。好美[喜欢][喜欢][喜欢]
鱼鬆小姐,女,高中生一枚,此bgm一出，必跪
平平无奇的购物小天才,保密,不忘初心,最爱的一部韩剧啊！！！！
拳头加冰,保密,????????????????????,封面看成了鬼夫怪妇[tv_目瞪口呆]
metacognitive,保密,Life is a journey.,521有心了[鸡腿]
女王的蓬蓬君,保密,我的硬币没有的速度越来越快了,一没东西我就看的剧 我爱鬼怪夫妇呜呜呜
何不前行,女,不以物喜，不以己悲。,从开播到现在一直都完完整整地躺在坑底 每年冬天都看
磨糖糖糖糖糖,女,俺爱阴阳怪气！！！还有贷人们！！,woc好棒！！！！！
两个一丫,女,,Up也太厉害了😭 字幕和镜头都超级超级用心
果沐君,保密,,太喜欢了，所以我已经用了好几年现在的头像了
堇墨浮华99,保密,,up我太爱你了，鬼怪也是我一直走不出来的剧
SEVENNNN_77,保密,,一听到BGM决定先点个赞再看[微笑]
轻尘如埃,女,＠(￣-￣)＠,(=・ω・=)你拥有了一个赞和两个圆圆的东西
取名字是一件复杂的事,保密,,公元202年了！！！我还没出来
拾贰楽,男,学习是个时而欣喜若狂，时而郁郁寡欢的道路，坚持下去，时间会回报你的。,爱了[爱心][爱心][爱心][爱心][爱心][爱心]
纯情少女v,女,想一直当个快乐的笨蛋,调色绝美!少主牛逼!表白鬼怪全员以及烈烈!
花田SM的虎砸呀,女,虎砸:朴灿烈怀中宝，整个sm大花田都是我的，嘿嘿嘿。,真的是我最喜欢的韩剧！没有之一！
Oudcci,保密,瞎搞。,遇到你的这一生，是奖赏。
松穰卷了个卷呐,保密,略略略略,鬼怪夫妇！！！
花丹阿i_,保密,一日是wannable，永远是wannable。,看了这么多韩剧鬼怪是唯一一部让我喜欢到这种程度的，甚至我的日记本里有几页都是鬼怪里的名台词，不知道这部剧有什么魔力就是，特别特别特别喜欢！已经刷了四五遍了，每次看到这种剪辑还是想回去再看一遍。[喜欢]
侁倬,女,金高银+孔刘+李栋旭$桥本奈奈未+大园桃子$马思纯+白敬亭,[tv_难过][tv_难过][tv_难过]鬼怪夫妇我好爱，我好爱他俩
水煮鱼片五两,保密,,真的好美的故事
在下张小助,女,做一个幸福、快乐、享受生活的女子～,剪辑的太棒了
杨紫的大眼睛,保密,爱杨紫护杨紫,鬼怪要和小新娘永远幸福生活在魁北克啊！[大哭]
你的微笑如花凋落,女,少年不识爱恨一生最心动,鬼怪夫妇一生推
响响要吃肉,女,摄影师//宇宙无敌可乐妹/,我们鬼怪的结局本就不是he就是悲伤的爱情
星米打烊鸭,保密,,16年的剧，我应该是19年的暑假看完的，现在依旧是我心中韩剧top1，一听到stay with me就感慨万千！！！永远的爱啊！！！
给梨安利草莓可爱多,女,Happier Than Ever,在我这里，鬼怪没有结局
次划弹档糜盒威童玩家,女,初三一枚～$平时喜欢追星.舞蹈.看书.电影.电视剧$,最喜欢的韩剧之一！
橙南听,女,化作风雨,真的很好看，看了以后久久无法释怀
老佛头了,保密,,看爱情剧就看韩剧就行
yewlisa,保密,,2021，还需要鬼怪给我力量
失眠多M,男,葱头,第2首歌叫什么名字
vkmon,女,故事,2021.6.7还在坑底
一只大猪比,保密,无,呜呜呜呜看的我又想重刷了
季白初四,女,我爱学习,2021年了[doge]
是Lily不是lily,保密,,今天是2021-5-21，还是在继续喜欢鬼怪啊
托马斯嘉丽,保密,=强迫症+收藏癖,结尾嘎然而止还没播完的bgm，就像鬼怪这部剧一样，开放性结局，留白部分供大家自由遐想，好棒[热词系列_妙啊]
微微一胖很倾城o_O,保密,米斯优兔～,Up剪得太棒了吧！[热词系列_你币有了][热词系列_吹爆][热词系列_再来亿遍]
青江琴酒,保密,,不知道自己是在哪一刻看哭的呜呜呜
夏目_小懒猫,女,“遥映人间冰雪样，暗香幽浮曲临江，遍识天下英雄路，俯首江左有梅郎”​,[打call][打call][打call]
无名之辈1019,女,To the world，You are some one.,[打call][打call][打call]
留志,保密,,[打call][打call][打call]鬼怪韩剧yyds！
田字格格格-,女,你努力生活的样子真好看,每一帧都绝美！
Dayfredeup,女,吹灭读书灯，一身都是月。,最近开始看的第一遍，太上头了
柳智敏圈外女友_,女,嗨,高考完一定好好刷！
我是荞麦面ovo,保密,,去年看的剧 因为灿烈老早就听了歌[OK]
柘月一十,保密,,“没有悲伤能持续千年万年，也没有持续数千年的爱情。”$“我投&#39;有&#39;一票。”$“是‘悲伤’还是‘爱情’？”$“是悲伤的爱情。”
ming鸣好多Ming,保密,,因为军烨认识了少主，突然发现以前就看过少主减的鬼怪了，缘分啊
o多肉草莓酱o,保密,$#未来  我们一起走花路吧 ～,天啊 第二首歌一放头皮发麻！！！$2021我还在重温鬼怪[大哭][爱心]
小香金猪,女,我们一起成为彼此的骄傲,剪辑的好好看，无限循环[星星眼][星星眼][星星眼]
薛辰月,保密,xxx,还在坑底
柒柒似酒,女,青鲤来时遥闻春溪声声碎,我又来了，疯狂打call!
lilili_S,女,随处逛逛,我第一次看，看到15集了，把我哭的
软萌的雪宝,女,我会努力的 等等我,spring
三秋十里桃花,女,活在这珍贵的人间，星辰闪烁云朵温柔,鬼怪和请回答1988我最爱的韩剧[大哭][大哭][大哭]
再瘦十斤哈,男,灾难总是接踵而至，这正是世间的常理。你以为只要解释一下，就有谁会来救你吗？要是死了，就只能说明我不过是如此程度的男人。,[七濑胡桃_我来了！]
改名非要6钢镚,保密,,每年都会重温的剧[摩羯座_爱你]
我和老王的那些事,男,我将永远忠于自己，披星戴月奔向你$老王是谁？我闺蜜！,请问这个画质去哪里看啊
西熙兮妈妈,保密,,从来没有一部韩剧让我n刷不够还要各大app去搜索鬼怪的一切信息[呲牙]，甚至手机铃声静音十年的习惯都打破了，设置了鬼怪的音乐。一把年纪追星也是好玩的
woaizhumei,保密,,2021了哇
咕噜苒,女,,[委屈][委屈][委屈]
1988守护者,男,,孔刘，82年生的金智英[OK][星星眼]
酵母菌yu,保密,本人很懒，什么也木留下,今天看完  太好看了！！
小可爱艺琳,女,,2021了我还在！！！！！！！！！！！！！
一往而来,保密,,看了这个剧我终于让我妈给我也织了条红围巾哈哈，真的很好看
钟于你呢,保密,,剪的太好了[鼓掌]
Red_LZS,女,,这个时间很好哎，521呐
彡卿依,女,等风也等你  微博ID:彡卿依  欢迎关注,！！！高清？？怎么做到的！太赞了
E-o-n_,保密,,BGM是什么呀？
bili_15257368590,保密,,完全心动
Anonymouses,保密,,鬼怪夫妇在一起了
一只鸭子毛,保密,喜欢看故事向的剪辑,歌真的好好听，画面真的好看，阿加西真的太帅了
sone-strings-meu,女,这世间，每个人都是独一无二的，不要担心，不要害怕，也不要比较，朝自己的方向走下去就会有自己的一片艳阳天。,冬天来啦
往事宜随风逝,保密,猎人往往以猎物的样貌出现，魔鬼没有张开翅膀往往自以为天使。417,真美好啊，
定格那抹阳光,女,,up剪的真好[点赞][点赞][大哭]
黑豆芽儿,保密,,好绝....
干嘛不给我起名字,保密,我怎么知道说什么？,我结婚一定要放这个歌
森焱6688,保密,,求第二首歌名[保佑]
阿怪和阿圈,保密,,白月光白月光！
天蓝色的rain,男,,喂，队长，我找到组织了！快来，这里有一群“鬼怪”[热词系列_妙啊]
火星老哥,保密,,艾，这样的爱情终究只是在电影电视剧里面
W想要一个大房子,保密,,秋冬就是和鬼怪的音乐好配
超级无敌奶味農,女,"世界灿烂盛大,欢迎回家",走不出来了，鬼怪真的是我看过最好看的剧没有之一了
环届挽风呐,保密,注意当下,偷走了我的币
请你跳支舞吧,女,这个人很懒 什么都没留下~,剪的太好了！我的阿加西啊
一夜有光,男,你曾让我的黑夜有光。,原来死去得心在你面前也还是回动。
爱她的人呀,保密,,在哪能看  推荐我下
一只温暖的小手,女,错过了秋枫冬雪就会迎来春天的樱花,up这个视频的长度是521哦
乐天易居白,保密,,我必须跪！这个调色，这个剪辑，这个字幕，绝了绝了绝了
Gilfoil,男,save your tears for another day,遇见你的这一生就是最好的奖赏
面包星人小布,保密,,昨天B站又刷到片段了 今天来重温几个视频 没想到这部剧都过了这么久了 永远的白月光啊～
ILUV박채영,保密,,我永远的白月光
whxhntsy,保密,,[大哭]
猜猜我开心不开心,保密,这个人不神秘，什么都没有写。,永远喜欢温暖的人
夏目家的Miriam,保密,,2020.10.27 今日4刷开始
肉沫GUTANG,女,上帝也会哭  ⍢⃝$$,我最近在重温 太毒了
一梦清赊,保密,国家一级熬夜天才，磕学家，气氛组,又是等待初雪那天看鬼怪的一年
GottsegneVater,女,"Le monde où je vais, envie d'être avec vous!",Gong Yoo身材真好
安格屿713号,保密,,[委屈]
加起来比你高,保密,只看喜欢的，solo追星,鬼怪在我心中是排名第一的韩剧
机智赵大爷,女,二次元/同人爱好者,爱了
누군지,女,个人号，到处搞搞,剪的太好了…
卤水鸡蛋,保密,(*´∇｀*),我永远喜欢鬼怪夫妇，这部剧是我的韩剧top1
是个个秃头,女,给爷爪巴！,我又来了
共话沧桑,女,,2020年的冬天要来了 又到了重温鬼怪的时候
宇宙小行星的玫瑰,保密,,甜爆了[喜欢]
霜夜枕书白,保密,朝酒辞歌君一诺,天气更冷了，我又又又回来了
Llingann,女,,已经看了十几遍了
alioy,保密,,桢桢都是画，美得炫目，像初雪，像那天的阳光
困了就喝咖啡,女,,2020年了还放不下鬼怪
u三七,保密,,今年的冬季预订[爱心][爱心]
失眠恒星,女,把我的爱，全部带走,[鼓掌]昨天一刷完了，看的很马虎，但是真的好好看啊5555，还要再看一次
神木泽熙,保密,游戏咸鱼，可我还是很皮,为鬼怪夫妇献上三连！
叫我小虾吧,保密,,好看
頔笙子,保密,,呜呜呜2020了坑底躺平啊啊啊我爱鬼怪[大哭][大哭][大哭]
LastnightonMars,女,Expecto Patronum,冬天再见一面吧[爱心]
Rosieeen,保密,,！！！好棒
知道了你要多喝开水,保密,社畜一只,up太棒了三连了！
世间对错何妨,女,,2020了我还在嗑鬼怪的糖🍬[笑哭]
FamaCC,男,,不知道刷了多少遍的剧   里面大叔的同款大衣也买了好几件
为罨紫,保密,你懂什么事爱情？$你懂什么事相互成就？,说实话，因为鬼怪我都不怕鬼了[笑哭]，有阿加西在怕什么[妙啊]（幼稚的我
在座的都是辣鸡か,保密,og við sváfum,阿加西[大哭]
脑瓜进了胡萝北,保密,,画质太好了吧
YR然然然,女,,每看一次还是会悸动，悲伤，眼泪夺眶而出
银酱呢,女,做自己该做的，别贪得无厌,我也有一个这样的男朋友，哈哈哈
步步的姐姐粉,保密,隆诗本命，期待消失合作！,鬼怪真的超级好看
莺飞_sunrise,保密,,剪的好好
下雨就打伞吧,保密,,我又来了
贝加尔湖畔LZ,女,就是任性,20161202-20200722  鬼怪依然是最爱的韩剧没有之一
不萌娜芝,女,无能送你锦绣荣华，一同老去也算风雅。,2020.7.22坑底有点挤，大家凑活凑活
Mkiko1wx,保密,,求封面啊啊啊嘻嘻呜呜呜
土依什,保密,,我心中的韩剧白月光，每一次在推荐中看见鬼怪夫妇都会点进去看，太甜了，印象太深了
然而并不想起床,男,果然還是抱著快樂水賴床好了,好了 我要六刷了😭
恰似惊鸿笑,女,悄咪咪的看我资料，还不关注我?,剧四刷完了来这里蹦跶蹦跶
是小姑娘呀嘿,保密,,神仙视频
简单more,女,哔哩哔哩干杯,Up主是神仙 真心地
不甜不冒泡,保密,,我已经连夏天都开始刷鬼怪了，可想而知我的生活有多糟糕了
cj不cj,保密,,"Round and round, stay with me."
liuanyl,保密,内心弹幕丰富的人,呜呜呜呜呜求bgm
pmhhhhhh,女,,@是小渣米吖
春眠不觉脆脆鲨,保密,,2020.7.15我还在磕
鬼刀官方,保密,好好学习天天向上,什么时候他们还能合作啊……
越人诀,女,想谈恋爱…………,我很羡慕up主那么高清的资源[热词系列_爱了爱了]三连给了[热词系列_三连]
下雨天需要睡懒觉,男,,2020年了我还鬼怪的坑里。然而这个数字还会每年递增[微笑]，还伴有那句，冬天来了，又到了看鬼怪的季节。
小i熊软糖,女,,@是小尾巴的ju 一起追剧
拔刀相助路招摇,女,但渡无所苦，我自迎接汝。,2020.7.11我还在坑底
木又寸木支一木艮,女,Bury a girl.,女主的红围巾，当年我也买了一条，太好看了
一只咸鱼沐,保密,,太甜了 2020.710还在坑底。
糖果糖糖果糖糖,保密,,好想看，但是我不吃女主的颜，我以为高中之后会长大[笑哭]
BloodBooming,保密,无,又来看了  不小心点了不喜欢[大哭]抱歉 我超喜欢的
没有真理,保密,,我心目中最好的鬼怪和鬼怪新娘
巴基的小宝贝,保密,,第二首是什么歌曲，很好听
异地的街道,女,,啊啊啊啊啊最近才第一次看鬼怪！！太甜了啊啊啊啊啊，意难平啊！！
小张很一般,女,可惜你对我一无所知,眼泪掉下来了
Hakuro_,女,too wild to live,第无数次回来看这个视频了，剪的太好了，每一幕都想截下来当壁纸呜呜呜呜呜呜呜 我永远爱鬼怪
97703978929_bili,保密,,娘嘞，绝美爱情，在线落泪。
日日进步,保密,想要的东西要有，要争取,这个歌字幕做的好好啊，up主真棒👍
几缕桃,保密,开心就vans,我好爱好爱鬼怪！
是小彭同学呀,女,喜欢电影，美剧和你,我真的太爱了
麻熊ke,女,怠惰,我的白月光
荍荞麦,保密,,演技好的不行，怎么没有写孔刘的同人呢
帮我关灯谢谢-,女,想要感受温柔的共振$,啊啊啊啊啊2020年了我还在为鬼怪流泪[大哭]
菜的大虾,保密,,还在这里
娘口三三不要再胖了,女,,n刷不腻的鬼怪
赤坂茶子,女,我本可以忍受黑暗，如果不曾见过光明,每次看都会被温暖的泪目
吃布丁不停的补丁,保密,最愚蠢的行为莫过于手贱去看影响情绪的东西.,神仙
忍冬的世界,保密,分享与记录，一天怎么那么无聊的亚子,天哪，神仙up，每一帧美如画
悲喜也不回头啊,女,,场景太美了
是泡泡泡泡,女,我想永远做个快乐的笨蛋,神仙up
翎翎桃,女,心有香茗，静等花开。,我心里唯二的韩剧白月光一部星你一部就是这部，简直看几遍都不腻2020年的我依然不想出坑[喜欢]
AKA_Coca,保密,,最喜欢的韩剧，每一年的冬天都会重温。
我就是Aileen,女,猫猫和狗狗好好的！,每年冬天都去重温[爱心]
少儿不宜的死宅,保密,保佑一夜暴富,2020了看了一遍，心动不已
弓长艺菲,保密,,每年冬天必刷一遍！！！我太爱了这部剧
番茄在等夏天,保密,留住少年人的夏天。,调色好好看哦
CerJie,女,我不成仙 谁人成仙,每日一遍
可可西里的小阿里,女,整个夏天想和你环游世界,鬼怪是我这几年反复看的一部韩剧，现在比较怀旧 ，新出的也懒得看
希錦年,保密,,2020同在坑底[爱心]
河流没有影子,保密,,刚看完鬼怪久久不能平静于是到b站找粮 点进来一看发现是我喜欢的up主剪的 微博还关注你了！真没想到啊哈哈哈哈哈哈
小-愛-同-学,男,,就算知道了结局，可是还是忍不住，想二刷三刷，尤其在这个无聊的假期，能让我继续慢慢的品品神仙爱情。那就等下一个冬天我们再见！！！
泰勒的小迷妹319,女,天道酬勤。,啊啊啊啊啊啊！太甜了！！！wsl[大哭][大哭][大哭]
Kento_jma,女,欧美，无事勿扰,昨天刚补完这部剧，真的神了好好看[大哭]
特一级吃货运动员,男,喜欢简单的事，简单的人,我又相信爱情了[呲牙]
你快哥屋恩吧,男,爱就是Love,画面好美
你快哥屋恩吧,男,爱就是Love,还是鬼怪好看[doge]
霜夜枕书白,保密,朝酒辞歌君一诺,看了这个剪辑去补的鬼怪
Caviar_99,女,正在努力成长的Caviar！,绝了！绝美的频！
吃一克竹,女,也许近在咫尺看着你的眼睛。,我忘不了鬼怪[大哭]
系十九呐,女,你要爱荒野上的风声。,调色太好看了！鬼怪真的超级好看！进坑晚了[大哭]
Kittybcute,保密,学习学习学习,剪的太好了
38298771359_bili,保密,,今日份的第二遍，韩剧中的最爱
Kaukokaipu,保密,这个人很懒，什么都没写。,前两天看了金高银小姐姐的新剧，我对她的印象还是停留在鬼怪里那个一直叫着阿加西的小姑娘，太深刻了，真希望鬼怪夫妇还能再次合作啊～
TWORED_,女,颜狗一只,呜呜呜呜这个剪辑实在是太好了无论是从调色排版还是丝滑度上看的我这个一直没入坑的人都想去看鬼怪了我爱少主
Lynnyee,女,,恩淑呀，你还是跟李应福合作吧
林荣与,保密,,所有关于鬼怪的剪辑视频，自己感觉不是stay with me的BGM都没有代入感
改名居然还要花硬币,保密,,感谢up！
夜荨城,保密,,今天刚看完鬼怪，是我看的第二部韩剧。好看啊
TA好难搞哦,保密,也不红，倒是爱蹭,时不时来看一遍，目前看视频觉得排版最好的，真的吹爆
张起灵的泡脚桶,保密,不改头像和ID,鬼怪永远是我的韩剧top1，我永远爱鬼怪爱鬼怪夫妇[大哭][大哭][大哭]
一粒小酸梅,保密,微博同id,鬼怪的OST绝了，每次听都会触动心灵
碎玉白川,保密,,up文字排版好棒
Omis13,女,金南俊、金硕珍、闵玧其、郑号锡、朴智旻、金泰亨、田柾国，BTS！！！,三连
Omis13,女,金南俊、金硕珍、闵玧其、郑号锡、朴智旻、金泰亨、田柾国，BTS！！！,2020了我还在鬼怪的坑里
Solar7-,保密,宇宙碎片,直至今日 我依然感谢并热爱着
sou的王哈哈,女,05年的小可爱????,结局虐不虐啊？有点想看[鼓掌]
晶晶今天吃炸鸡了吗,女,,疯狂投币[大哭]
茉莉园子,保密,世界是复杂的（杀殿、孙悟空、通臂猿猴、阿絮、林奚、小龙女、刘星、小景、蓝兔、戈薇、叶漓）$艺人取向（毛毛、泰泰、邓紫棋）$技：周深,鬼怪在我心里珍藏
夏侯萧,保密,你点亮了自己的灯，你对谁都不负债蒙恩。,因为这个剪辑我去看了剧…对于一个日常不看剧不爱看视频的人，可以说这个剪辑很棒了
雷雷雷雷雨,保密,,我就跟你们不一样了 我单纯的想问这么好的画质哪儿找
草莓没有果,保密,"我总是会说""就像你说的那样""",每年冬天都会看
蒋丞且顾飞99,保密,愛二次元,看完了 好喜欢好喜欢呜呜呜
红橘右,保密,胡桃夹子,up主太好了，居然不加水印[爱心][爱心][爱心]
夏里繁华,保密,我所喜欢的,唯美剪辑
Bigbluehero-,保密,致力于记录无趣生活以及撒狗粮,啊啊啊哭死了
是小姑娘呀嘿,保密,,太棒了这个视频！
TA好难搞哦,保密,也不红，倒是爱蹭,神仙视频[大哭]太绝了，这个调色这个字体排版[大哭]
沈加盐jump啊啊啊啊啊,保密,action,我还没把结局看完，因为实在太虐了，虐的肝痛[大哭][大哭][大哭][大哭][大哭]
改个昵称怎么这么难277,保密,,2020了我还在
王十八的小可爱,女,,😭
覔你,保密,好好吃饭好好睡觉生命最重要,最爱的 也是第一部看的完整的韩剧 真的最爱了
撄--宁,女,生活就像苏菲一样，中了荒野女巫的魔法，却不能说出来。$,最喜欢的一部韩剧，没有之一[惊喜][鼓掌]
在夏夜看海,女,爱看吃播 也爱吃火鸡面 螺蛳粉。,剪辑太棒了[大哭][大哭][大哭][支持][支持][支持]
在夏夜看海,女,爱看吃播 也爱吃火鸡面 螺蛳粉。,我最最最最最喜欢的韩剧Top1，神仙爱情我哭了[大哭][大哭]
icecreamchic,保密,我是充满勇气的格兰芬多,甜死我啦
bite1you,女,,up剪得太棒了！！！
孔刘小女友,保密,,哪有孔刘阿加西哪有我[星星眼][星星眼][星星眼]
冰镇绿豆汤12,女,秃头少女欢乐多,看了这个剪辑去补了剧，太好看了，眼泪不值钱系列[tv_笑哭]
iohk19,女,来路风尘仆仆,[惊喜]UP主太强了，这调色，随手截都是壁纸
造物狂,女,想剪什么剪什么  更新很慢,这排版调色和速度线我都好爱
女王的蓬蓬君,保密,我的硬币没有的速度越来越快了,我永远爱鬼怪呜呜呜
盛夏的方程式sun,女, 莱格拉斯 TL AL,太好看了！
银梅口乐,男,,bgm是啥
今天也要喝牛奶啊,保密,自由,投币投币！
我叫天一我怕谁,保密,,又骗我去看一遍
palpitate_lv,保密,绝不放手,2020年再看到还是心空
Psloppywinter,女,是你嘉哥不是你家鸽,我可以！
谦哥的烟灰缸,保密,快乐老家,这剧太好看了真的，别的我都看不下去了
盛夏的方程式sun,女, 莱格拉斯 TL AL,啊啊啊啊啊啊
盛夏的方程式sun,女, 莱格拉斯 TL AL,意外纯情的鬼怪
山泉水纯净水,保密,,阿婆主可以出一期字幕教程
开畦分白水,男,开畦分白水 间柳发红桃,2020年了，我还在磕鬼怪CP[热词系列_知识增加]谢谢up，给你两个圆圆的东西喔[tv_doge][tv_doge]
枫糖落落,女,,鬼怪的结局是喜欢也是遗憾的，喜欢是因为鬼怪能继续和新娘幸福的生活在一起，遗憾的是新娘的第一个人生结束的太仓促了[大哭]
桔子酸叽叽,女,月亮不睡我不睡 我是人间小美味,太好哭了
秋千与秋天,保密,这里什么都没有噢⊙︿⊙,因为受不了男主的年龄我就没看下去[doge]
一颗甜枣呀,女,却道天凉好个秋～,我太喜欢啦色调歌词怎么这么棒 大大100分
BTS柒米呀,保密,酒舞宝宝世最甜！！！,阿加西～撒浪嘿呦～
是我是牛轰轰,女,美好的东西就是拿来喜欢的鸭。,Up的神仙调色[打call][打call][打call][打call][打call]
浪里个踉跄跄,保密,挥起我的小铲子,鬼怪永远不过时！！！
莹呀莹,女,做想做的事 剪喜欢的视频 关注我没错的,up主真厉害！
樱花星空际,女,追星女孩,闹钟铃声
青瓷瓦,保密,我要这天，再遮不住我眼,为最心动的韩剧投币[微笑]
吾王Return,保密,大概就是个很老的B站号最近整理出国vlog吧,剪得超级好看！！
若秋硕,保密,,怎么只能投两个币！！
室友关易何,保密,,这剪辑技术牛逼
可可西里的小阿里,女,整个夏天想和你环游世界,up剪的真真好！笔芯[鸡腿]
aileen_AIL,保密,爱久见人心,色调太棒了吧
alcoholnic,保密,,他俩在一起了吗
把洙赫娶回家当老婆,女,众生皆苦，你是草莓味,up是神仙吗？剪的好好！
小於貳,保密,,刷了好多好多好多遍的韩剧，心底的白月光！
苝夗皖,保密,,看了鬼怪之后，每个冬天都会戴上红色的围巾，但我的鬼怪跑哪里去了?[捂眼]
这儿有一只懒兔子,保密,接受终归平凡的现实，却又永不放弃理想。✨,我会永远记住那个冬天
枫里讨厌吃凤梨,女,中传树莓大二/想做吃播舞见Vlogger的戏精,想问问up剪辑的资源和音轨是哪里找的[大哭]
Nakadakana,保密,你好 谢谢 抱歉 再见,鬼怪是加拿大旅游广告吗
达不溜爱死Q,保密,专心学习，专心健身，专心吃饭,时长是我的生日
七号蜜语,女,芦苇，爱丽，山人。,太美了
8这个名太短了,保密,,啊啊啊啊啊
8这个名太短了,保密,,给我哭
陪伴LH7,保密,爱是陪伴，久伴EXO,剪出了我喜欢的part
阳光彩虹小飞马,女,直起腰来，我看见蓝色的大海和帆影！,这个色调真的超美！
Yssi的美学概论,保密,颜控,太好看了！
5HINee好好的,保密,逛B站的shawol(⁎⁍̴̛ᴗ⁍̴̛⁎),每一帧都是壁纸啊，三连走起！！！
LoveYourself-Xi,保密,罗云熙是底线。,曾经追过的韩剧……虽然没看完……$剪的真好！好心动啊！
LexisCandyShop1,保密,呐,刚看完  太爱女主了，孔刘也是魅力十足，
纪风陵,女,哪一个都是你，可哪一个又都不是你。,救命，本想点赞，结果手滑点了旁边的[doge]，吓得我赶紧补了个币
十分可爱鸭,女,相由心生。,撒拉嘿呦，阿加西
redfish小于,女,Keep calm and carry on ,战歌响
我是宇宙无敌酷盖,女,磕糖 看做饭 关注奇奇怪怪,我最心动的就是初见面 一眼万年啊
jie64,保密,,[喜欢][喜欢][喜欢]
软乎乎的小叽,女, ,时长爱了
好好学习小神仙,保密,,在哪里可以看呀？
Oslosho,保密,,我真的好喜欢鬼怪哦
没敢上时尚的非主流,女,,完全看不腻，每次看都很有感觉
NO95星星球球,女, /,剪的太好了 我的天啊 [大哭][大哭][大哭]
叶子嘛嘛,保密,,第一次看孔刘的剧是当年的饼干老师星星糖
IhappyisOK,保密,,好想要up的图包 太赞了😭
小喇叭很认真长高,女,喜欢啥就剪啥，fo系up，大多数视频都是剪给自己看的。,天呐这个色调鸡皮疙瘩
挽su,保密,,这是一部，每个冬天我都会回看的电视剧
安久沁Rosie,女,以渺小启程，以伟大结束。,封面我看成了鬼夫怪妇
爱喝酸奶一只鱼,保密,,为什么不能投屏了呀 每天运动完就是看这个坚持下去啊[笑哭]
陌若惜妖,保密,,我还给自己织了红围巾
